iter	Passed	Remaining
1163	22180	6402
1164	22198	6383
1165	22216	6363
1166	22235	6344
1167	22253	6325
1168	22271	6306
1169	22289	6286
1170	22308	6267
1171	22328	6249
1172	22347	6229
1173	22365	6210
1174	22384	6191
1175	22403	6172
1176	22422	6153
1177	22440	6134
1178	22459	6114
1179	22477	6095
1180	22496	6076
1181	22514	6057
1182	22533	6038
1183	22551	6018
1184	22569	5999
1185	22587	5980
1186	22605	5960
1187	22624	5941
1188	22643	5922
1189	22662	5903
1190	22680	5884
1191	22699	5865
1192	22717	5846
1193	22736	5826
1194	22755	5807
1195	22773	5788
1196	22792	5769
1197	22810	5750
1198	22828	5731
1199	22847	5711
1200	22866	5692
1201	22884	5673
1202	22903	5654
1203	22922	5635
1204	22941	5616
1205	22959	5597
1206	22978	5577
1207	22996	5558
1208	23014	5539
1209	23032	5520
1210	23050	5500
1211	23068	5481
1212	23090	5463
1213	23108	5444
1214	23126	5424
1215	23145	5405
1216	23163	5386
1217	23182	5367
1218	23200	5348
1219	23219	5329
1220	23238	5309
1221	23257	5290
1222	23276	5271
1223	23294	5252
1224	23314	5233
1225	23333	5214
1226	23352	5195
1227	23370	5176
1228	23388	5157
1229	23406	5137
1230	23424	5118
1231	23442	5099
1232	23461	5080
1233	23479	5061
1234	23497	5041
1235	23515	5022
1236	23533	5003
1237	23552	4984
1238	23571	4965
1239	23590	4946
1240	23608	4927
1241	23626	4907
1242	23644	4888
1243	23662	4869
1244	23680	4850
1245	23698	4830
1246	23716	4811
1247	23735	4792
1248	23753	4773
1249	23771	4754
1250	23789	4735
1251	23807	4715
1252	23825	4696
1253	23843	4677
1254	23861	4658
1255	23879	4638
1256	23897	4619
1257	23915	4600
1258	23934	4581
1259	23954	4562
1260	23976	4544
1261	23997	4525
1262	24016	4506
1263	24035	4487
1264	24053	4468
1265	24071	4449
1266	24089	4430
1267	24107	4410
1268	24126	4391
1269	24144	4372
1270	24162	4353
1271	24181	4334
1272	24199	4315
1273	24217	4296
1274	24235	4276
1275	24254	4257
1276	24272	4238
1277	24290	4219
1278	24310	4200
1279	24329	4181
1280	24347	4162
1281	24365	4143
1282	24383	4124
1283	24402	4105
1284	24420	4085
1285	24438	4066
1286	24456	4047
1287	24474	4028
1288	24493	4009
1289	24511	3990
1290	24530	3971
1291	24548	3952
1292	24566	3932
1293	24584	3913
1294	24602	3894
1295	24621	3875
1296	24639	3856
1297	24657	3837
1298	24676	3818
1299	24695	3799
1300	24713	3780
1301	24732	3761
1302	24750	3742
1303	24769	3722
1304	24787	3703
1305	24805	3684
1306	24824	3665
1307	24842	3646
1308	24860	3627
1309	24879	3608
1310	24897	3589
1311	24916	3570
1312	24935	3551
1313	24953	3532
1314	24972	3513
1315	24990	3494
1316	25008	3474
1317	25026	3455
1318	25044	3436
1319	25063	3417
1320	25081	3398
1321	25100	3379
1322	25118	3360
1323	25137	3341
1324	25155	3322
1325	25173	3303
1326	25191	3284
1327	25209	3265
1328	25227	3245
1329	25245	3226
1330	25264	3207
1331	25283	3188
1332	25304	3170
1333	25322	3151
1334	25340	3132
1335	25359	3112
1336	25382	3094
1337	25401	3075
1338	25418	3056
1339	25436	3037
1340	25455	3018
1341	25474	2999
1342	25492	2980
1343	25511	2961
1344	25529	2942
1345	25548	2923
1346	25566	2903
1347	25584	2884
1348	25602	2865
1349	25620	2846
1350	25638	2827
1351	25656	2808
1352	25675	2789
1353	25693	2770
1354	25712	2751
1355	25730	2732
1356	25748	2713
1357	25766	2694
1358	25784	2675
1359	25802	2656
1360	25821	2637
1361	25839	2618
1362	25858	2599
1363	25876	2580
1364	25895	2561
1365	25913	2542
1366	25932	2523
1367	25950	2503
1368	25968	2484
1369	25985	2465
1370	26004	2446
1371	26022	2427
1372	26041	2408
1373	26059	2389
1374	26077	2370
1375	26096	2351
1376	26114	2332
1377	26132	2313
1378	26151	2294
1379	26170	2275
1380	26188	2256
1381	26206	2237
1382	26225	2218
1383	26243	2199
1384	26261	2180
1385	26281	2161
1386	26302	2142
1387	26320	2123
1388	26337	2104
1389	26355	2085
1390	26374	2066
1391	26393	2047
1392	26411	2028
1393	26429	2009
1394	26447	1990
1395	26465	1971
1396	26483	1952
1397	26501	1933
1398	26520	1914
1399	26538	1895
1400	26556	1876
1401	26574	1857
1402	26593	1838
1403	26611	1819
1404	26629	1800
1405	26648	1781
1406	26666	1762
1407	26685	1743
1408	26703	1724
1409	26721	1705
1410	26739	1686
1411	26757	1667
1412	26776	1648
1413	26794	1629
1414	26813	1610
1415	26831	1591
1416	26850	1572
1417	26869	1553
1418	26887	1534
1419	26905	1515
1420	26923	1496
1421	26942	1477
1422	26960	1458
1423	26979	1439
1424	26996	1420
1425	27015	1401
1426	27033	1382
1427	27051	1363
1428	27070	1344
1429	27088	1326
1430	27106	1307
1431	27124	1288
1432	27143	1269
1433	27161	1250
1434	27179	1231
1435	27198	1212
1436	27215	1193
1437	27233	1174
1438	27252	1155
1439	27270	1136
1440	27291	1117
1441	27309	1098
1442	27328	1079
1443	27346	1060
1444	27364	1041
1445	27382	1022
1446	27400	1003
1447	27418	984
1448	27436	965
1449	27454	946
1450	27472	927
1451	27490	908
1452	27508	889
1453	27526	870
1454	27544	851
1455	27562	832
1456	27581	814
1457	27599	795
1458	27617	776
1459	27636	757
1460	27654	738
1461	27671	719
1462	27690	700
1463	27708	681
1464	27726	662
1465	27744	643
1466	27763	624
1467	27781	605
1468	27799	586
1469	27817	567
1470	27835	548
1471	27854	529
1472	27872	510
1473	27891	491
1474	27909	473
1475	27927	454
1476	27945	435
1477	27964	416
1478	27982	397
1479	28001	378
1480	28020	359
1481	28038	340
1482	28056	321
1483	28074	302
1484	28093	283
1485	28112	264
1486	28130	245
1487	28149	227
1488	28167	208
1489	28185	189
1490	28205	170
1491	28223	151
1492	28242	132
1493	28260	113
1494	28281	94
1495	28299	75
1496	28318	56
1497	28336	37
1498	28354	18
1499	28372	0
